5	10
0.537667	-1.307688	-1.349887	-0.204966	0.671497	1.034693	0.888396	1.438380	-0.102242	-0.030051
1.833885	-0.433592	3.034923	-0.124144	-1.207487	0.726885	-1.147070	0.325191	-0.241447	-0.164879
-2.258847	0.342624	0.725404	1.489698	0.717239	-0.303441	-1.068870	-0.754928	0.319207	0.627707
0.862173	3.578397	-0.063055	1.409034	1.630235	0.293871	-0.809499	1.370299	0.312859	1.093266
0.318765	2.769437	0.714743	1.417192	0.488894	-0.787283	-2.944284	-1.711516	-0.864880	1.109273

10	4
-0.863653	-1.089064	-0.615602	1.419310
0.077359	0.032557	0.748077	0.291584
-1.214117	0.552527	-0.192419	0.197811
-1.113501	1.100610	0.888610	1.587699
-0.006849	1.544212	-0.764849	-0.804466
1.532630	0.085931	-1.402269	0.696624
-0.769666	-1.491590	-1.422376	0.835088
0.371379	-0.742302	0.488194	-0.243715
-0.225584	-1.061582	-0.177375	0.215670
1.117356	2.350457	-0.196053	-1.165844
